plate,time,row,col,count,squares,dilution,conc,anabasine.conc,strain,sample,anabasine,blank,excluded.counts
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
,0,,,,,,100,0,twelve.six,,0 ppm anabasine,,
,0,,,,,,100,0.5,twelve.six,,0.5 ppm anabasine,,
,0,,,,,,100,5,twelve.six,,5 ppm anabasine,,
,0,,,,,,100,50,twelve.six,,50 ppm anabasine,,
1,1,C,3,7,25,1,70,0,twelve.six,C3,0 ppm anabasine,,
1,1,D,3,7,25,1,70,0.5,twelve.six,D3,0.5 ppm anabasine,,
1,1,E,3,10,25,1,100,5,twelve.six,E3,5 ppm anabasine,,
1,1,F,3,3,25,1,30,50,twelve.six,F3,50 ppm anabasine,,
1,1,C,4,9,25,1,90,0,twelve.six,C4,0 ppm anabasine,,
1,1,D,4,8,25,1,80,0.5,twelve.six,D4,0.5 ppm anabasine,,
1,1,E,4,2,25,1,20,5,twelve.six,E4,5 ppm anabasine,,
1,1,F,4,9,25,1,90,50,twelve.six,F4,50 ppm anabasine,,
1,1,C,5,7,25,1,70,0,twelve.six,C5,0 ppm anabasine,,
1,1,D,5,7,25,1,70,0.5,twelve.six,D5,0.5 ppm anabasine,,
1,1,E,5,3,25,1,30,5,twelve.six,E5,5 ppm anabasine,,
1,1,F,5,11,25,1,110,50,twelve.six,F5,50 ppm anabasine,,
1,1,C,6,12,25,1,120,0,twelve.six,C6,0 ppm anabasine,,
1,1,D,6,8,25,1,80,0.5,twelve.six,D6,0.5 ppm anabasine,,
1,1,E,6,5,25,1,50,5,twelve.six,E6,5 ppm anabasine,,
1,1,F,6,8,25,1,80,50,twelve.six,F6,50 ppm anabasine,,
1,1,C,7,7,25,1,70,0,twelve.six,C7,0 ppm anabasine,,
1,1,D,7,7,25,1,70,0.5,twelve.six,D7,0.5 ppm anabasine,,
1,1,E,7,4,25,1,40,5,twelve.six,E7,5 ppm anabasine,,
1,1,F,7,10,25,1,100,50,twelve.six,F7,50 ppm anabasine,,
1,1,C,8,7,25,1,70,0,twelve.six,C8,0 ppm anabasine,,
1,1,D,8,5,25,1,50,0.5,twelve.six,D8,0.5 ppm anabasine,,
1,1,E,8,7,25,1,70,5,twelve.six,E8,5 ppm anabasine,,
1,1,F,8,8,25,1,80,50,twelve.six,F8,50 ppm anabasine,,
1,1,C,9,12,25,1,120,0,twelve.six,C9,0 ppm anabasine,,
1,1,D,9,7,25,1,70,0.5,twelve.six,D9,0.5 ppm anabasine,,
