time,Row,column,strain,anabasine.conc,anabasine,time,sample,a620,a620.a,a620.b
0,A,1,control,0,0 ppm,0,A1,,,
0,B,1,control,0.5,0.5 ppm,0,B1,,,
0,C,1,control,5,5 ppm,0,C1,,,
0,D,1,control,50,50 ppm,0,D1,,,
0,E,1,control,0,0 ppm,0,E1,,,
0,F,1,control,0.5,0.5 ppm,0,F1,,,
0,G,1,control,5,5 ppm,0,G1,,,
0,H,1,control,50,50 ppm,0,H1,,,
0,A,2,control,0,0 ppm,0,A2,,,
0,B,2,control,0.5,0.5 ppm,0,B2,,,
0,C,2,control,5,5 ppm,0,C2,,,
0,D,2,control,50,50 ppm,0,D2,,,
0,E,2,control,0,0 ppm,0,E2,,,
0,F,2,control,0.5,0.5 ppm,0,F2,,,
0,G,2,control,5,5 ppm,0,G2,,,
0,H,2,control,50,50 ppm,0,H2,,,
0,A,3,control,0,0 ppm,0,A3,0.069,0.069,
0,B,3,control,0.5,0.5 ppm,0,B3,0.069,0.069,
0,C,3,twelve.six,0,0 ppm,0,C3,0.066,0.066,
0,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.065,0.065,
0,E,3,twelve.six,5,5 ppm,0,E3,0.068,0.068,
0,F,3,twelve.six,50,50 ppm,0,F3,0.063,0.063,
0,G,3,control,5,5 ppm,0,G3,0.069,0.069,
0,H,3,control,50,50 ppm,0,H3,0.066,0.066,
0,A,4,control,0,0 ppm,0,A4,0.067,0.067,
0,B,4,control,0.5,0.5 ppm,0,B4,0.073,0.073,
0,C,4,twelve.six,0,0 ppm,0,C4,0.065,0.065,
0,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.064,0.064,
0,E,4,twelve.six,5,5 ppm,0,E4,0.067,0.067,
0,F,4,twelve.six,50,50 ppm,0,F4,0.063,0.063,
0,G,4,control,5,5 ppm,0,G4,0.07,0.07,
0,H,4,control,50,50 ppm,0,H4,0.065,0.065,
0,A,5,control,0,0 ppm,0,A5,0.068,0.068,
0,B,5,control,0.5,0.5 ppm,0,B5,0.069,0.069,
